TOTCNG,TOTADH,TOTRATE,EVANCNG,EVANADH,EVANRATE,BPRTCNG,BPRTADH,BPRTRATE,MPRTCNG,MPRTADH,MPRTRATE,CATHCNG,CATHADH,CATHRATE,ORTHCNG,ORTHADH,ORTHRATE,OTHCNG,OTHADH,OTHRATE,OCGCNG,AMECNG,AMEADH,AMERATE,AMEZCNG,AMEZADH,AMEZRATE,ALBCNG,ALBADH,ALBRATE,AWMCCNG,AWMCADH,AWMCRATE,ALBPCNG,AMANCNG,AMANADH,AMANRATE,AAMCNG,AAMADH,AAMRATE,AALCCNG,ABACNG,ABAADH,ABARATE,ABCCNG,ABCADH,ABCRATE,ACROCNG,ACROADH,ACRORATE,APCCNG,AMSHCNG,AMSHADH,AMSHRATE,ACNACNG,AOCACNG,AOCAADH,AOCARATE,ACCACNG,ACCAADH,ACCARATE,AFMCNG,AFMADH,AFMRATE,ALCACNG,AACACNG,AACAADH,AACARATE,ARMCNG,ARMADH,ARMRATE,AECCNG,AGCNG,AGADH,AGRATE,AGIFCNG,ARPCCNG,ARPCADH,ARPCRATE,AFLCCNG,AMCCNG,ARBCCNG,BAHCNG,BAHADH,BAHRATE,BAMCCNG,BAMCADH,BAMCRATE,BAMCNG,BAMADH,BAMRATE,BFCCNG,BFCADH,BFCRATE,BPCCNG,BCACNG,BCAADH,BCARATE,BCCCNG,BRUDCNG,BRUDADH,BRUDRATE,BUDMCNG,BUDMADH,BUDMRATE,BUDTCNG,BUDTADH,BUDTRATE,BUDVCNG,BUDVADH,BUDVRATE,BULGCNG,BULGADH,BULGRATE,CCFCCNG,CARCCNG,CTHCNG,CTHADH,CTHRATE,CYMFCNG,CYMFADH,CYMFRATE,CMACNG,CMAADH,CMARATE,CBCNG,CCDCCNG,CCDCADH,CCDCRATE,CCCCCNG,CCCCADH,CCCCRATE,CMECNG,CMEADH,CMERATE,CRCCNG,CRCADH,CRCRATE,CUCNG,CCHCNG,CCSCNG,CGAICNG,CGAIADH,CGAIRATE,CGCTCNG,CGCTADH,CGCTRATE,CG7DCNG,CGFCNG,CGGCCNG,CGGCADH,CGGCRATE,CGCCNG,CGCADH,CGCRATE,CGCMCNG,CGCMADH,CGCMRATE,CGPCNG,CGPADH,CGPRATE,CGAFCNG,CGMACNG,LDSCNG,LDSADH,LDSRATE,CAFCNG,CBRCNG,CBRADH,CBRRATE,CLBACNG,CLBAADH,CLBARATE,CLCCNG,NAZCNG,NAZADH,NAZRATE,CUBCCNG,CUBCADH,CUBCRATE,CHCHCNG,CHCHADH,CHCHRATE,CCCUCNG,CHGNCNG,CHGNADH,CHGNRATE,CRECCNG,COCCNG,COCADH,COCRATE,CCCCNG,CCCADH,CCCRATE,CHCCNG,CHCADH,CHCRATE,CMCCNG,CMCADH,CMCRATE,CBACNG,CCONCNG,CCONADH,CCONRATE,CJUDCNG,CJUDADH,CJUDRATE,CLACNG,CMCOCNG,CMCOADH,CMCORATE,CYFRCNG,CYFRADH,CYFRRATE,OFWBCNG,OFWBADH,OFWBRATE,CWCNG,CWADH,CWRATE,COPTCNG,COPTADH,COPTRATE,CRPCCNG,CUMBCNG,CUMBADH,CUMBRATE,CPCACNG,ELIMCNG,EBACNG,ECCNG,ECADH,ECRATE,EOCNG,EOADH,EORATE,ETHOCNG,EARCNG,EVCHCNG,ECCCNG,ECCADH,ECCRATE,ECOVCNG,ECOVADH,ECOVRATE,EFCACNG,EFCAADH,EFCARATE,EFCICNG,EFCIADH,EFCIRATE,ELCACNG,ELCAADH,ELCARATE,ELSCNG,ELSADH,ELSRATE,EMCCNG,EPCCNG,EPCADH,EPCRATE,FRCCNG,FEBCCNG,FEBCADH,FEBCRATE,FECCNG,FECADH,FECRATE,FOURCNG,FOURADH,FOURRATE,FCSCNG,FMCCNG,FMCADH,FMCRATE,FPCCNG,FRCHCNG,FRNDCNG,FRNDADH,FRNDRATE,FGCCNG,FGCADH,FGCRATE,FUMCNG,FUMADH,FUMRATE,FGBCNG,FBFCNG,GARBCNG,GOPCNG,GOPADH,GOPRATE,FGBCCNG,GGFCNG,GRKCNG,GRKADH,GRKRATE,HRCCNG,HRCADH,HRCRATE,HNICNG,HNIADH,HNIRATE,HNPRCNG,HNPRADH,HNPRRATE,HNRCNG,HNRADH,HNRRATE,HNTTCNG,HNTTADH,HNTTRATE,HOCCNG,HOCADH,HOCRATE,HUNGCNG,HUTTCNG,IBFICNG,IFCACNG,IYMFCNG,IYMFADH,IYMFRATE,ICCCNG,ICCADH,ICCRATE,ICCCCNG,IFBCCNG,INTFCNG,IPCCCNG,IPCCADH,IPCCRATE,IPHCCNG,IPHCADH,IPHCRATE,JAINCNG,JWCNG,KPRSCNG,KPCACNG,KAPCCNG,LCMSCNG,LCMSADH,LCMSRATE,LCMCCNG,LCMCADH,LCMCRATE,MOCCNG,MOCADH,MOCRATE,MALACNG,MALAADH,MALARATE,MOSCCNG,MOSCADH,MOSCRATE,MAMCNG,MAMADH,MAMRATE,MCFCNG,MCFADH,MCFRATE,MENNCNG,MENNADH,MENNRATE,MCCCNG,MCCADH,MCCRATE,MBAMCNG,MBAMADH,MBAMRATE,MCCFCNG,MCCFADH,MCCFRATE,MISSCNG,MISSADH,MISSRATE,MVAKCNG,MVAKADH,MVAKRATE,MVNOCNG,MVNOADH,MVNORATE,MVSOCNG,MVSOADH,MVSORATE,MSLMCNG,MSLMADH,MSLMRATE,NACCCNG,NACCADH,NACCRATE,FWBCNG,FWBADH,FWBRATE,NBCACNG,NBCAADH,NBCARATE,NBCCNG,NBCADH,NBCRATE,NMBCCNG,NMBCADH,NMBCRATE,NSACCNG,NWAPCNG,IBCCNG,NONDCNG,NONDADH,NONDRATE,NABCCNG,NABCADH,NABCRATE,NALCCNG,OORBCNG,OORBADH,OORBRATE,OBSCCNG,OBSCADH,OBSCRATE,OCACNG,OCAADH,OCARATE,OJUDCNG,OJUDADH,OJUDRATE,OPCCNG,OPCADH,OPCRATE,ROCCNG,ROCADH,ROCRATE,PCCCNG,PCCADH,PCCRATE,FBHCCNG,PFWBCNG,PILLCNG,PILLADH,PILLRATE,PNCCCNG,PCCNG,PCADH,PCRATE,PCACNG,PCAADH,PCARATE,PRCCNG,PBEDCNG,PBEDADH,PBEDRATE,PMCCNG,PNBCCNG,PNBCADH,PNBCRATE,PRCACNG,PRCAADH,PRCARATE,RJUDCNG,RJUDADH,RJUDRATE,RFRMCNG,RFRMADH,RFRMRATE,RBCCNG,RCACNG,RCAADH,RCARATE,RCUSCNG,RCUSADH,RCUSRATE,RMCCNG,RMCADH,RMCRATE,RPCCNGV,RPHPCNG,RPUSCNG,RPNACNG,RPNAADH,RPNARATE,ROAACNG,ROAAADH,ROAARATE,ROORCNG,ROORADH,ROORRATE,SALVCNG,SALVADH,SALVRATE,SCHWCNG,SCHWADH,SCHWRATE,SERBCNG,SERBADH,SERBRATE,SDBCNG,SDBADH,SDBRATE,SDACCNG,SDACADH,SDACRATE,SHNTCNG,SIKHCNG,SBCCNG,SBCADH,SBCRATE,SMCCNG,SWEDCNG,SOCACNG,SOCAADH,SOCARATE,TAMCNG,TAMADH,TAMRATE,TAOCNG,USMBCNG,USMBADH,USMBRATE,UOCCNG,UOCADH,UOCRATE,UCAMCNG,UCAMADH,UCAMRATE,UFMCNG,UMJCCNG,UUACNG,UUAADH,UUARATE,UCTHCNG,UCTHADH,UCTHRATE,UCCCNG,UCCADH,UCCRATE,UHCACNG,UMCCNG,UMCADH,UMCRATE,UPCICNG,UPCCNG,URCCNG,UZCCNG,UZCADH,UZCRATE,UNTYCNG,UNBRCNG,PJOCCNG,PJOCADH,PJOCRATE,VINECNG,VINEADH,VINERATE,WESCNG,WESADH,WESRATE,WELSCNG,WELSADH,WELSRATE,ZOROCNG,ZOROADH,ZORORATE,STCODE,STABBR,STNAME,POP2010
10514,3007553,629.23,7029,2009448,420.41,1337,346519,72.5,1667,388252,81.23,169,200657,41.98,14,3001,0.63,298,59676,12.49,1,294,48639,10.18,189,29300,6.13,,,,,,,4,,,,,,,,32,5451,1.14,4,8157,1.71,,,,,,,,17,2,98,0.02,1,55,0.01,4,172,0.04,,,,,,,,,359,54821,11.47,,9,283,0.06,1,,,8,1441,0.3,2,139,0.03,,,,,,,,,,,,,,,7,921,0.19,2,410,0.09,1,53,0.01,,,,6,,169,200657,41.98,,,,17,1265,0.26,3,56,8370,1.75,26,3280,0.69,183,27620,5.78,,,,2,4,9,65,3355,0.7,387,86003,17.99,1,11,,,,91,31298,6.55,3,438,0.09,77,4341,0.91,,1,73,34349,7.19,27,3,230,0.05,,,,,116,13006,2.72,,,,867,114015,23.85,,,,,2,16,2471,0.52,,,,43,1647,0.34,23,2300,0.48,,,,,4,2843,0.59,,,,,,,,,,,,,,2,78,0.02,,59,5874,1.23,50,,,126,43697,9.14,,,,,1,,,,,4,212,0.04,2,500,0.1,,,,19,4066,0.85,,,,1,5,704,0.15,2,,,,,,,3,872,0.18,,2,62,0.01,1,,,,,5,52,0.01,1,0,,17,1,,,,,,6,5,2355,0.49,,,,2,129,0.03,5,150,0.03,,,,2,1100,0.23,,,,,,8,3,,,,2,102,0.02,8,1,,,,,51,10791,2.26,,108,,1,,62,10290,2.15,4,996,0.21,,,,,,,,,,,,,,,,1,55,0.01,3,204,0.04,,,,,,,1,24,0.01,,,,,,,,,,31,10258,2.15,5,342,0.07,140,17568,3.68,19,13740,2.87,382,175176,36.65,76,13810,2.89,,2,,875,220938,46.22,,,,,,,,,,,3,340,0.07,2,375,0.08,3,110,0.02,1,70,0.01,8,871,0.18,4,,,,,,147,26347,5.51,108,28009,5.86,,,,,,9,6936,1.45,,,,,,,9,4082,0.85,7,,,,,,,,,,,,,1,47,0.01,,,,,,,14,2481,0.52,,,,1,60,0.01,2,85,0.02,115,21771,4.55,,1,3324,1392363,291.31,4,,,,,,,,,,,,,,,1,54,0.01,,,9,1079,0.23,,,,15,1381,0.29,,1274,295636,61.85,98,,,,,,7,,,,,7,1724,0.36,11,1801,0.38,3,343,0.07,0,15,0,1,AL,Alabama,4779736
1246,240833,339.09,664,100960,142.15,16,1976,2.78,206,32550,45.83,104,50866,71.62,94,13480,18.98,162,41001,57.73,,1,25,0.04,3,313,0.44,,,,,,,,,,,,,,,,,,13,2146,3.02,,,,,,,,,3,522,0.73,,,,,,,,,,,,,,,87,10261,14.45,,,,,,,,15,1353,1.91,,,,,,,,,,,,,,,,,,6,986,1.39,4,3405,4.79,2,73,0.1,1,25,0.04,2,,104,50866,71.62,,,,16,1691,2.38,3,1,194,0.27,11,3586,5.05,3,439,0.62,3,264,0.37,,,5,7,892,1.26,22,2921,4.11,,,,,,4,442,0.62,1,5,0.01,4,131,0.18,,,80,32170,45.3,,,,,,,,3,26,3175,4.47,,,,26,2451,3.45,,,,,1,3,501,0.71,,,,,,,,,,5,,,,,,,,,,,,,,,,,4,360,0.51,,,,,,,,,,,50,7234,10.19,,,,,,,,,,20,2489,3.5,1,30,0.04,12,1387,1.95,35,9642,13.58,,,,,,,,,,,,,,,7,321,0.45,,2,120,0.17,,,,,,8,230,0.32,,,,,1,5,,,,4,,1,234,0.33,,,,,,,4,76,0.11,1,12,0.02,1,160,0.23,,,,,,7,2,,,,1,132,0.19,,,,,,,8,425,0.6,,22,1,2,,14,3665,5.16,2,347,0.49,,,,,,,,,,,,,,,,1,50,0.07,1,18,0.03,,,,,,,,,,23,2649,3.73,,,,,,,3,924,1.3,3,316,0.44,1,92,0.13,,,,1,0,,4,757,1.07,,1,,157,38070,53.6,,,,,,,,1,47,0.07,86,12652,17.81,1,60,0.08,1,79,0.11,,,,4,436,0.61,,,,,,,38,4460,6.28,1,72,0.1,,,,,,,,,,,,,,,4,754,1.06,,,,,,,,,,,,,,,,,,,,,,,17,1968,2.77,,,,3,47,0.07,2,,,33,4361,6.14,,2,102,19891,28.01,,,,,,,,,,,,,,,,,,,,,6,527,0.74,,,,2,76,0.11,,28,5585,7.86,26,,,,,,2,,,,,,,,3,229,0.32,9,1012,1.42,,,,2,AK,Alaska,710231
4673,2379928,372.33,2612,762376,119.27,77,12473,1.95,484,171792,26.88,278,930702,145.6,36,16233,2.54,1186,486352,76.09,,9,2814,0.44,1,126,0.02,,,,1,20,0,,,,,,,,3,11,1320,0.21,26,7204,1.13,,,,,,,,13,3,1320,0.21,3,338,0.05,,,,1,,,,1,3600,0.56,,285,123713,19.35,,1,32,0.01,4,1,4,34,7659,1.2,,,,,,,,,,,3,296,0.05,,,,,40,14089,2.2,5,3715,0.58,15,1457,0.23,1,150,0.02,47,,277,930001,145.49,,,,22,2860,0.45,1,30,4590,0.72,62,48386,7.57,4,592,0.09,9,950,0.15,,,24,26,3845,0.6,73,7228,1.13,5,,1,78,0.01,30,3801,0.59,5,275,0.04,26,1672,0.26,,,811,392918,61.47,1,3,219,0.03,4,591,0.09,1,106,16991,2.66,1,0,,137,14151,2.21,3,1,0,,1,9,1926,0.3,,,,2,87,0.01,,,,98,1,0,,6,4577,0.72,,4,168,0.03,,,,,,,22,7290,1.14,4,608,0.1,,1,24,0,,,,66,24853,3.89,1,150,0.02,1,,,,,,10,2332,0.36,34,8738,1.37,9,195,0.03,84,42944,6.72,3,349,0.05,7,2,297,0.05,,,,,,,,32,4731,0.74,,12,1177,0.18,1,,,,,6,246,0.04,,,,16,3,13,,,,1,3,8,8100,1.27,,,,9,7775,1.22,18,540,0.08,4,13072,2.05,4,11500,1.8,1,20,0,1,,15,10,,,,1,701,0.11,5,,,1,35,0.01,18,2014,0.32,1,98,7,5,2,72,26322,4.12,19,14350,2.24,1,150,0.02,1,180,0.03,1,60,0.01,,,,,,,7,933,0.15,2,202,0.03,,,,,,,5,135,0.02,,,,,,,,,,29,8557,1.34,3,690,0.11,9,461,0.07,4,1853,0.29,9,3098,0.48,2,189,0.03,1,4,3,574,281105,43.98,,,,1,,,,2,263,0.04,6,750,0.12,16,2710,0.42,5,302,0.05,,,,42,4569,0.71,,,,,,,97,26078,4.08,16,2601,0.41,,,,,,,,,,,,,,,16,13117,2.05,6,8,1618,0.25,,,,,,,,,,1,40,0.01,,,,2,85,0.01,28,4612,0.72,,,,3,780,0.12,,,,100,20924,3.27,,6,404,126830,19.84,,,1,240,0.04,,,,1,4,30,0,1,40,0.01,,,,,,13,2606,0.41,1,701,0.11,33,8390,1.31,1,122,54977,8.6,42,,1,,,,20,,,,,18,13114,2.05,20,1922,0.3,54,12760,2,1,134,0.02,4,AZ,Arizona,6392017
6697,1614357,553.64,4833,1136611,389.8,547,107202,36.76,939,205332,70.42,126,122662,42.07,10,1200,0.41,242,41350,14.18,5,184,27991,9.6,14,1787,0.61,,,,,,,1,,,,,,,,463,80814,27.71,1,113,0.04,,,,,2,130,0.04,9,3,420,0.14,,,,1,44,0.02,,,,,,,,,436,68946,23.64,,5,152,0.05,,,,5,1266,0.43,4,431,0.15,1,107,0.04,,,,,,,,,,,,7,652,0.22,6,1304,0.45,,,,,,,8,,126,122662,42.07,1,10,0,7,422,0.14,,50,7847,2.69,57,8974,3.08,79,11199,3.84,,,,4,7,11,30,2397,0.82,87,9996,3.43,4,,5,135,0.05,103,17353,5.95,4,499,0.17,27,1014,0.35,12,,62,27559,9.45,,1,37,0.01,,,,,108,16291,5.59,,,,721,84635,29.03,,2,18,0.01,3,17,2046,0.7,,,,,,,1,15,0.01,,,,,,,,,2,79,0.03,,,,,,,,,,1,18,0.01,,61,3592,1.23,,,,57,13469,4.62,,,,,,1,,,,,,,5,944,0.32,,,,21,4450,1.53,,,,,2,134,0.05,,,,,,,,8,927,0.32,,1,48,0.02,,,,,,2,107,0.04,,,,3,,7,,,,,2,2,330,0.11,1,22,0.01,2,1992,0.68,4,128,0.04,,,,1,400,0.14,,,,,,6,4,,,,1,41,0.01,2,1,,,,,15,1146,0.39,,88,,1,,66,11843,4.06,1,72,0.02,,,,,,,,,,,,,,,,2,72,0.02,,,,,,,,,,1,15,0.01,,,,,,,,,,13,3746,1.28,,,,193,21803,7.48,9,1559,0.53,105,38559,13.22,49,8569,2.94,,3,1,497,129638,44.46,,,,,,,,2,192,0.07,1,60,0.02,1,60,0.02,,,,,,,131,14247,4.89,,,,,,,111,20536,7.04,9,928,0.32,,,,,,1,185,0.06,,,,,,,7,1487,0.51,4,,,,1,20,0.01,,,,,,,,,,,,,1,51,0.02,14,2089,0.72,,,,2,321,0.11,2,162,0.06,77,9960,3.42,,,1515,661382,226.82,1,,,,,6,883,0.3,1,1,63,0.02,,,,,,,,,7,710,0.24,,,,3,236,0.08,,691,158574,54.38,160,,,,,,7,,,,,1,206,0.07,9,449,0.15,6,587,0.2,,,,5,AR,Arkansas,2915918
23558,16765751,450.04,13612,3502250,94.01,815,249191,6.69,3161,880981,23.65,1317,10234036,274.71,284,154331,4.14,4369,1744962,46.84,,98,61557,1.65,35,5225,0.14,,,,1,151,0,5,,,,,,,7,85,8658,0.23,458,114797,3.08,,,,,,,,83,29,10066,0.27,2,138,0,6,264,0.01,2,11,5460,0.15,23,32900,0.88,10,1260,348747,9.36,3,17,525,0.01,7,1,8,217,29638,0.8,,,,,,,,,,,5,505,0.01,18,,,,498,250945,6.74,109,65463,1.76,126,10532,0.28,2,110,0,331,,1315,10233334,274.69,,,,230,61456,1.65,14,202,22978,0.62,212,82719,2.22,53,12952,0.35,141,26922,0.72,,38,181,122,20634,0.55,222,25547,0.69,31,,2,47,0,301,72496,1.95,7,1078,0.03,116,6503,0.17,1,,1362,763818,20.5,13,24,2534,0.07,3,670,0.02,4,435,86715,2.33,1,19,0,632,73405,1.97,,8,525,0.01,3,41,6619,0.18,,,,,,,,,,226,9,5755,0.15,62,51738,1.39,3,1,80,0,,,,,,,151,36720,0.99,38,24208,0.65,,5,952,0.03,,,,409,130709,3.51,6,2550,0.07,10,1,,,,,148,53984,1.45,180,59607,1.6,41,5686,0.15,446,123908,3.33,6,253,0.01,6,18,9108,0.24,,,,,,,,586,105086,2.82,,91,12575,0.34,,,,,,2,113,0,3,464,0.01,54,2,100,2,250,0.01,31,6,42,38463,1.03,,,,63,45234,1.21,156,6130,0.16,45,5142,0.14,34,55626,1.49,3,190,0.01,4,,3,71,41,1603,0.04,7,8960,0.24,12,,,,,,106,13572,0.36,5,611,69,131,88,392,105084,2.82,41,24525,0.66,1,300,0.01,2,360,0.01,5,765,0.02,,,,2,92,0,36,3130,0.08,16,1892,0.05,,,,,,,41,9662,0.26,,,,2,341,0.01,,,,246,272814,7.32,29,6799,0.18,52,3035,0.08,45,19490,0.52,113,57968,1.56,79,13746,0.37,11,25,1,2964,1420908,38.14,55,17780,0.48,7,,,,33,3059,0.08,43,5819,0.16,229,54625,1.47,34,3108,0.08,2,890,0.02,226,28084,0.75,1,2,2,275,0.01,1,553,170641,4.58,106,11352,0.3,,,,,,19,5757,0.15,1,239,0.01,10,6771,0.18,95,102270,2.75,23,47,31940,0.86,14,1001,0.03,,,,,,,3,200,0.01,5,1550,0.04,23,7354,0.2,104,39338,1.06,,,,18,8646,0.23,7,456,0.01,613,214635,5.76,,60,2147,489953,13.15,,4,7,7240,0.19,,,,16,70,14167,0.38,4,560,0.02,1,114,0,,8,71,15760,0.42,1,702,0.02,234,42397,1.14,5,667,232399,6.24,261,,15,,,,75,,8,6650,0.18,81,30428,0.82,83,13529,0.36,48,7996,0.21,8,1837,0.05,6,CA,California,37253956
4188,1902282,378.25,2388,601009,119.5,44,13019,2.59,742,246706,49.05,305,811630,161.38,37,11213,2.23,672,218705,43.49,,6,2313,0.46,2,243,0.05,,,,,,,,,,,,,,2,10,907,0.18,64,20030,3.98,,,,,4,330,0.07,28,7,1278,0.25,1,81,0.02,,,,,1,180,0.04,,,,,176,50633,10.07,,1,0,,1,,1,32,2856,0.57,,,,,,,,,,,,,,1,,,,36,16230,3.23,6,4087,0.81,27,3603,0.72,,,,33,1,303,811630,161.38,,,,15,3571,0.71,2,39,11291,2.25,78,26461,5.26,2,922,0.18,17,4605,0.92,,1,29,19,1045,0.21,28,3506,0.7,3,,1,6,0,16,2425,0.48,3,236,0.05,12,442,0.09,,,289,142473,28.33,,9,717,0.14,4,391,0.08,3,79,15096,3,,,,146,15760,3.13,,,,,3,20,2560,0.51,1,0,,,,,,,,45,11,1663,0.33,3,4112,0.82,,,,,1,0,,,,,35,9240,1.84,1,400,0.08,,,,,,,,102,26683,5.31,1,500,0.1,4,,,,,,23,10165,2.02,65,16637,3.31,13,1390,0.28,114,55573,11.05,,,,,18,14733,2.93,,,,,,,,63,8080,1.61,,10,1461,0.29,,,,,,9,518,0.1,,,,2,2,14,,,,1,11,9,6395,1.27,,,,2,1812,0.36,29,1177,0.23,4,48,0.01,1,2000,0.4,,,,1,,3,22,,,,3,1011,0.2,,,,,,,33,2958,0.59,1,100,1,5,1,122,42353,8.42,9,4634,0.92,,,,1,90,0.02,1,30,0.01,,,,,,,19,1976,0.39,4,529,0.11,,,,,,,5,880,0.17,,,,,,,,,,17,16738,3.33,1,37,0.01,6,75,0.01,2,588,0.12,10,5795,1.15,4,733,0.15,1,4,21,476,229981,45.73,4,448,0.09,4,,,,3,43,0.01,9,975,0.19,14,2175,0.43,6,625,0.12,,,,10,1087,0.22,,,2,200,0.04,2,125,35957,7.15,22,3899,0.78,,,,,,,,,1,273,0.05,2,1261,0.25,14,12488,2.48,4,10,2267,0.45,3,210,0.04,,,,,,,3,329,0.07,,,,1,600,0.12,13,9139,1.82,,,,2,765,0.15,3,193,0.04,102,19456,3.87,,4,382,71166,14.15,,,,,,1,70,0.01,3,5,875,0.17,,,,,,,,1,18,5072,1.01,,,,59,14940,2.97,,212,78881,15.68,45,,2,,,,14,,,,,16,14383,2.86,12,3031,0.6,26,4558,0.91,1,13,0,8,CO,Colorado,5029196
2597,1830862,512.26,871,157336,44.02,106,22969,6.43,806,281174,78.67,412,1254340,350.95,55,19632,5.49,347,95411,26.7,,14,4474,1.25,24,5845,1.64,,,,,,,1,,,,,,,,,,,122,40672,11.38,4,1003,0.28,,,,,7,2,1061,0.3,1,575,0.16,,,,,1,500,0.14,3,1000,0.28,,89,17947,5.02,,,,,,,1,8,1014,0.28,,,,,,,1,43,0.01,,,,,,,,,23,5297,1.48,4,1296,0.36,10,917,0.26,,,,2,,399,1252936,350.56,,,,19,2601,0.73,5,8,168,0.05,6,699,0.2,7,2180,0.61,1,245,0.07,,,18,2,100,0.03,63,9379,2.62,2,,,,,27,3870,1.08,1,0,,8,1149,0.32,,,32,14990,4.19,12,,,,2,599,0.17,,20,2007,0.56,,,,23,2618,0.73,,,,,,3,365,0.1,4,657,0.18,,,,,,,14,8,573,0.16,27,18681,5.23,,,,,,,,,,,17,5010,1.4,1,390,0.11,,,,,,4,,171,59261,16.58,,,,,,,,,,14,2644,0.74,23,3666,1.03,,,,73,24736,6.92,,,,,1,184,0.05,,,,,,,,6,292,0.08,,6,974,0.27,,,10,628,0.18,,,,,,,3,,3,,,,1,,17,11727,3.28,,,,6,3890,1.09,21,686,0.19,,,,2,1883,0.53,,,,,,,,,,,3,621,0.17,3,,3,1,75,0.02,1,152,0.04,2,55,,4,,37,9785,2.74,2,131,0.04,,,,,,,,,,,,,,,,,,,2,127,0.04,,,,,,,,,,,,,,,,,,,36,13418,3.75,25,3412,0.95,,,,3,2774,0.78,5,2858,0.8,4,727,0.2,6,4,,276,72863,20.39,1,,,,,,,1,29,0.01,18,3086,0.86,35,8160,2.28,2,132,0.04,,,,3,327,0.09,5,,,,,11,19,7380,2.06,12,1105,0.31,,,,,,1,241,0.07,,,,1,432,0.12,22,20366,5.7,2,,,,,,,,,,,,,,,,,,,4,340,0.1,22,3840,1.07,,,,,,,3,58,0.02,55,8749,2.45,,2,52,7271,2.03,,,,,,,,,2,,,,5,525,0.15,,,,1,2,19,3928,1.1,2,1404,0.39,242,96506,27,6,124,47627,13.33,27,1,,,,,7,,,,,3,471,0.13,4,179,0.05,2,243,0.07,0,88,0.02,9,CT,Connecticut,3574097
831,374917,417.53,363,64625,71.97,75,13371,14.89,273,86858,96.73,45,182532,203.28,8,1486,1.65,67,26045,29.01,,39,9364,10.43,7,876,0.98,,,,,,,,,,,,,,,1,105,0.12,16,4699,5.23,,,,,9,1424,1.59,1,2,131,0.15,,,,,,,,,,,,,,,16,5720,6.37,,,,,,,1,6,279,0.31,,,,,,,3,755,0.84,,1,95,0.11,1,,,,4,421,0.47,,,,1,13,0.01,,,,1,,45,182532,203.28,,,,8,987,1.1,1,2,107,0.12,9,1281,1.43,,,,,,,,1,4,5,315,0.35,20,4054,4.51,,,,,,5,899,1,,,,8,560,0.62,,,12,4832,5.38,3,2,269,0.3,,,,,15,1703,1.9,,,,12,1306,1.45,,1,0,,,2,322,0.36,,,,,,,,,,1,,,,2,1253,1.4,,3,510,0.57,,,,,,,2,1050,1.17,1,210,0.23,,,,,,2,,35,10808,12.04,,,,,,,,,,,,,5,835,0.93,,,,14,6512,7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,8,602,0.67,,,,5,,5,,,,,,1,550,0.61,,,,1,1742,1.94,3,51,0.06,1,12,0.01,1,6000,6.68,,,,,,,1,,,,1,63,0.07,,,,,,,2,242,0.27,,14,1,,,7,2133,2.38,,,,,,,,,,,,,,,,,,,6,292,0.33,1,42,0.05,,,,,,,,,,,,,,,,,,,5,7124,7.93,,,,2,109,0.12,1,0,,10,2050,2.28,1,182,0.2,,,,106,22973,25.58,,,,,,,,,,,2,320,0.36,1,60,0.07,2,268,0.3,,,,1,109,0.12,3,,,,,,36,9907,11.03,12,3159,3.52,,,,,,,,,,,,1,748,0.83,1,1812,2.02,,,,,,,,,,,,,,,,,,,,,,,4,571,0.64,,,,,,,,,,22,3291,3.67,,1,33,7387,8.23,,1,,,,,,,,,,,2,275,0.31,,,,,,5,1331,1.48,,,,3,525,0.58,4,158,53656,59.75,9,,,,,,1,,,,,,,,16,2872,3.2,1,187,0.21,0,45,0.05,10,DE,Delaware,897934
