geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
hi,confirmed_incidence_num,2021-01-05,2021-01-07,2,3217.0,,,state,usa-facts
ia,confirmed_incidence_num,2021-01-05,2021-01-07,2,1813.0,,,state,usa-facts
id,confirmed_incidence_num,2021-01-05,2021-01-07,2,1534.0,,,state,usa-facts
il,confirmed_incidence_num,2021-01-05,2021-01-07,2,6838.0,,,state,usa-facts
in,confirmed_incidence_num,2021-01-05,2021-01-07,2,3412.0,,,state,usa-facts
ks,confirmed_incidence_num,2021-01-05,2021-01-07,2,129.0,,,state,usa-facts
ky,confirmed_incidence_num,2021-01-05,2021-01-07,2,1693.0,,,state,usa-facts
la,confirmed_incidence_num,2021-01-05,2021-01-07,2,4466.0,,,state,usa-facts
ma,confirmed_incidence_num,2021-01-05,2021-01-07,2,22110.0,,,state,usa-facts
md,confirmed_incidence_num,2021-01-05,2021-01-07,2,1956.0,,,state,usa-facts
me,confirmed_incidence_num,2021-01-05,2021-02-10,36,525.0,,,state,usa-facts
mi,confirmed_incidence_num,2021-01-05,2021-01-07,2,3031.0,,,state,usa-facts
mn,confirmed_incidence_num,2021-01-05,2021-01-07,2,1574.0,,,state,usa-facts
mo,confirmed_incidence_num,2021-01-05,2021-01-07,2,2633.0,,,state,usa-facts
ms,confirmed_incidence_num,2021-01-05,2021-01-07,2,1767.0,,,state,usa-facts
mt,confirmed_incidence_num,2021-01-05,2021-01-07,2,731.0,,,state,usa-facts
nc,confirmed_incidence_num,2021-01-05,2021-01-07,2,5288.0,,,state,usa-facts
nd,confirmed_incidence_num,2021-01-05,2021-01-07,2,258.0,,,state,usa-facts
ne,confirmed_incidence_num,2021-01-05,2021-01-07,2,1448.0,,,state,usa-facts
nh,confirmed_incidence_num,2021-01-05,2021-01-07,2,664.0,,,state,usa-facts
nj,confirmed_incidence_num,2021-01-05,2021-01-07,2,6266.0,,,state,usa-facts
nm,confirmed_incidence_num,2021-01-05,2021-01-07,2,1184.0,,,state,usa-facts
nv,confirmed_incidence_num,2021-01-05,2021-01-07,2,1381.0,,,state,usa-facts
ny,confirmed_incidence_num,2021-01-05,2021-01-07,2,12666.0,,,state,usa-facts
oh,confirmed_incidence_num,2021-01-05,2021-01-07,2,7580.0,,,state,usa-facts
ok,confirmed_incidence_num,2021-01-05,2021-01-07,2,1497.0,,,state,usa-facts
or,confirmed_incidence_num,2021-01-05,2021-01-07,2,1035.0,,,state,usa-facts
pa,confirmed_incidence_num,2021-01-05,2021-01-07,2,8818.0,,,state,usa-facts
ri,confirmed_incidence_num,2021-01-05,2021-01-07,2,0.0,,,state,usa-facts
sc,confirmed_incidence_num,2021-01-05,2021-01-07,2,2601.0,,,state,usa-facts
sd,confirmed_incidence_num,2021-01-05,2021-02-10,36,434.0,,,state,usa-facts
tn,confirmed_incidence_num,2021-01-05,2021-01-07,2,5399.0,,,state,usa-facts
tx,confirmed_incidence_num,2021-01-05,2021-02-10,36,32762.0,,,state,usa-facts
ut,confirmed_incidence_num,2021-01-05,2021-01-07,2,2592.0,,,state,usa-facts
va,confirmed_incidence_num,2021-01-05,2021-01-07,2,4427.0,,,state,usa-facts
vt,confirmed_incidence_num,2021-01-05,2021-01-07,2,165.0,,,state,usa-facts
wa,confirmed_incidence_num,2021-01-05,2021-01-07,2,2330.0,,,state,usa-facts
wi,confirmed_incidence_num,2021-01-05,2021-01-07,2,4019.0,,,state,usa-facts
wv,confirmed_incidence_num,2021-01-05,2021-01-07,2,2100.0,,,state,usa-facts
wy,confirmed_incidence_num,2021-01-05,2021-01-07,2,313.0,,,state,usa-facts
ak,confirmed_incidence_num,2021-01-06,2021-01-07,1,334.0,,,state,usa-facts
al,confirmed_incidence_num,2021-01-06,2021-01-07,1,4591.0,,,state,usa-facts
ar,confirmed_incidence_num,2021-01-06,2021-01-07,1,3705.0,,,state,usa-facts
az,confirmed_incidence_num,2021-01-06,2021-01-07,1,7206.0,,,state,usa-facts
ca,confirmed_incidence_num,2021-01-06,2021-01-07,1,29892.0,,,state,usa-facts
co,confirmed_incidence_num,2021-01-06,2021-01-07,1,2559.0,,,state,usa-facts
ct,confirmed_incidence_num,2021-01-06,2021-01-07,1,2486.0,,,state,usa-facts
dc,confirmed_incidence_num,2021-01-06,2021-02-11,36,316.0,,,state,usa-facts
de,confirmed_incidence_num,2021-01-06,2021-01-07,1,629.0,,,state,usa-facts
fl,confirmed_incidence_num,2021-01-06,2021-01-07,1,17783.0,,,state,usa-facts
ga,confirmed_incidence_num,2021-01-06,2021-01-07,1,5592.0,,,state,usa-facts
hi,confirmed_incidence_num,2021-01-06,2021-01-07,1,142.0,,,state,usa-facts
ia,confirmed_incidence_num,2021-01-06,2021-01-07,1,2785.0,,,state,usa-facts
id,confirmed_incidence_num,2021-01-06,2021-01-07,1,1267.0,,,state,usa-facts
il,confirmed_incidence_num,2021-01-06,2021-01-07,1,7570.0,,,state,usa-facts
in,confirmed_incidence_num,2021-01-06,2021-01-07,1,6149.0,,,state,usa-facts
ks,confirmed_incidence_num,2021-01-06,2021-01-07,1,5456.0,,,state,usa-facts
ky,confirmed_incidence_num,2021-01-06,2021-01-07,1,5705.0,,,state,usa-facts
la,confirmed_incidence_num,2021-01-06,2021-01-07,1,6878.0,,,state,usa-facts
ma,confirmed_incidence_num,2021-01-06,2021-01-07,1,6419.0,,,state,usa-facts
md,confirmed_incidence_num,2021-01-06,2021-01-07,1,3146.0,,,state,usa-facts
me,confirmed_incidence_num,2021-01-06,2021-02-10,35,535.0,,,state,usa-facts
mi,confirmed_incidence_num,2021-01-06,2021-01-07,1,4856.0,,,state,usa-facts
mn,confirmed_incidence_num,2021-01-06,2021-01-10,4,2326.0,,,state,usa-facts
mo,confirmed_incidence_num,2021-01-06,2021-01-07,1,2854.0,,,state,usa-facts
ms,confirmed_incidence_num,2021-01-06,2021-01-07,1,2791.0,,,state,usa-facts
mt,confirmed_incidence_num,2021-01-06,2021-02-11,36,674.0,,,state,usa-facts
nc,confirmed_incidence_num,2021-01-06,2021-01-07,1,6952.0,,,state,usa-facts
nd,confirmed_incidence_num,2021-01-06,2021-01-07,1,338.0,,,state,usa-facts
ne,confirmed_incidence_num,2021-01-06,2021-01-10,4,1429.0,,,state,usa-facts
nh,confirmed_incidence_num,2021-01-06,2021-01-07,1,846.0,,,state,usa-facts
nj,confirmed_incidence_num,2021-01-06,2021-01-07,1,5848.0,,,state,usa-facts
nm,confirmed_incidence_num,2021-01-06,2021-01-07,1,1485.0,,,state,usa-facts
nv,confirmed_incidence_num,2021-01-06,2021-01-07,1,4329.0,,,state,usa-facts
ny,confirmed_incidence_num,2021-01-06,2021-01-07,1,16648.0,,,state,usa-facts
oh,confirmed_incidence_num,2021-01-06,2021-01-07,1,7814.0,,,state,usa-facts
ok,confirmed_incidence_num,2021-01-06,2021-01-07,1,3305.0,,,state,usa-facts
or,confirmed_incidence_num,2021-01-06,2021-01-07,1,735.0,,,state,usa-facts
pa,confirmed_incidence_num,2021-01-06,2021-01-07,1,9474.0,,,state,usa-facts
ri,confirmed_incidence_num,2021-01-06,2021-01-07,1,6726.0,,,state,usa-facts
sc,confirmed_incidence_num,2021-01-06,2021-01-07,1,5162.0,,,state,usa-facts
sd,confirmed_incidence_num,2021-01-06,2021-02-11,36,608.0,,,state,usa-facts
tn,confirmed_incidence_num,2021-01-06,2021-01-07,1,7588.0,,,state,usa-facts
tx,confirmed_incidence_num,2021-01-06,2021-02-11,36,24035.0,,,state,usa-facts
ut,confirmed_incidence_num,2021-01-06,2021-01-07,1,3907.0,,,state,usa-facts
va,confirmed_incidence_num,2021-01-06,2021-01-07,1,5387.0,,,state,usa-facts
vt,confirmed_incidence_num,2021-01-06,2021-01-07,1,120.0,,,state,usa-facts
wa,confirmed_incidence_num,2021-01-06,2021-01-07,1,5234.0,,,state,usa-facts
wi,confirmed_incidence_num,2021-01-06,2021-01-07,1,4109.0,,,state,usa-facts
wv,confirmed_incidence_num,2021-01-06,2021-01-07,1,0.0,,,state,usa-facts
wy,confirmed_incidence_num,2021-01-06,2021-01-07,1,321.0,,,state,usa-facts
ak,confirmed_incidence_num,2021-01-07,2021-01-10,3,322.0,,,state,usa-facts
al,confirmed_incidence_num,2021-01-07,2021-01-10,3,5046.0,,,state,usa-facts
ar,confirmed_incidence_num,2021-01-07,2021-01-10,3,3323.0,,,state,usa-facts
az,confirmed_incidence_num,2021-01-07,2021-01-10,3,9913.0,,,state,usa-facts
ca,confirmed_incidence_num,2021-01-07,2021-01-10,3,36385.0,,,state,usa-facts
co,confirmed_incidence_num,2021-01-07,2021-01-10,3,3472.0,,,state,usa-facts
ct,confirmed_incidence_num,2021-01-07,2021-01-10,3,3304.0,,,state,usa-facts
dc,confirmed_incidence_num,2021-01-07,2021-02-11,35,268.0,,,state,usa-facts
de,confirmed_incidence_num,2021-01-07,2021-01-10,3,1220.0,,,state,usa-facts
fl,confirmed_incidence_num,2021-01-07,2021-01-10,3,19816.0,,,state,usa-facts
ga,confirmed_incidence_num,2021-01-07,2021-01-10,3,7069.0,,,state,usa-facts
hi,confirmed_incidence_num,2021-01-07,2021-01-10,3,350.0,,,state,usa-facts
ia,confirmed_incidence_num,2021-01-07,2021-01-10,3,1930.0,,,state,usa-facts
id,confirmed_incidence_num,2021-01-07,2021-01-10,3,1066.0,,,state,usa-facts
il,confirmed_incidence_num,2021-01-07,2021-01-10,3,8756.0,,,state,usa-facts
in,confirmed_incidence_num,2021-01-07,2021-01-10,3,7279.0,,,state,usa-facts
ks,confirmed_incidence_num,2021-01-07,2021-01-10,3,114.0,,,state,usa-facts
ky,confirmed_incidence_num,2021-01-07,2021-01-10,3,4889.0,,,state,usa-facts
la,confirmed_incidence_num,2021-01-07,2021-01-10,3,4530.0,,,state,usa-facts
ma,confirmed_incidence_num,2021-01-07,2021-01-10,3,7136.0,,,state,usa-facts
md,confirmed_incidence_num,2021-01-07,2021-01-10,3,2970.0,,,state,usa-facts
me,confirmed_incidence_num,2021-01-07,2021-02-10,34,788.0,,,state,usa-facts
mi,confirmed_incidence_num,2021-01-07,2021-01-10,3,4188.0,,,state,usa-facts
mn,confirmed_incidence_num,2021-01-07,2021-01-10,3,1983.0,,,state,usa-facts
mo,confirmed_incidence_num,2021-01-07,2021-01-10,3,3983.0,,,state,usa-facts
ms,confirmed_incidence_num,2021-01-07,2021-01-10,3,0.0,,,state,usa-facts
mt,confirmed_incidence_num,2021-01-07,2021-02-11,35,689.0,,,state,usa-facts
nc,confirmed_incidence_num,2021-01-07,2021-01-10,3,10398.0,,,state,usa-facts
nd,confirmed_incidence_num,2021-01-07,2021-01-10,3,324.0,,,state,usa-facts
ne,confirmed_incidence_num,2021-01-07,2021-02-11,35,1129.0,,,state,usa-facts
nh,confirmed_incidence_num,2021-01-07,2021-01-10,3,423.0,,,state,usa-facts
nj,confirmed_incidence_num,2021-01-07,2021-01-10,3,7531.0,,,state,usa-facts
nm,confirmed_incidence_num,2021-01-07,2021-01-10,3,1835.0,,,state,usa-facts
nv,confirmed_incidence_num,2021-01-07,2021-01-10,3,3362.0,,,state,usa-facts
ny,confirmed_incidence_num,2021-01-07,2021-01-10,3,17636.0,,,state,usa-facts
oh,confirmed_incidence_num,2021-01-07,2021-01-10,3,10251.0,,,state,usa-facts
ok,confirmed_incidence_num,2021-01-07,2021-01-10,3,3781.0,,,state,usa-facts
or,confirmed_incidence_num,2021-01-07,2021-01-10,3,862.0,,,state,usa-facts
pa,confirmed_incidence_num,2021-01-07,2021-01-10,3,9698.0,,,state,usa-facts
ri,confirmed_incidence_num,2021-01-07,2021-01-10,3,0.0,,,state,usa-facts
sc,confirmed_incidence_num,2021-01-07,2021-01-10,3,4877.0,,,state,usa-facts
sd,confirmed_incidence_num,2021-01-07,2021-02-11,35,448.0,,,state,usa-facts
tn,confirmed_incidence_num,2021-01-07,2021-01-10,3,9000.0,,,state,usa-facts
tx,confirmed_incidence_num,2021-01-07,2021-02-11,35,23651.0,,,state,usa-facts
ut,confirmed_incidence_num,2021-01-07,2021-01-10,3,4642.0,,,state,usa-facts
va,confirmed_incidence_num,2021-01-07,2021-01-10,3,5378.0,,,state,usa-facts
vt,confirmed_incidence_num,2021-01-07,2021-01-10,3,245.0,,,state,usa-facts
wa,confirmed_incidence_num,2021-01-07,2021-01-10,3,0.0,,,state,usa-facts
wi,confirmed_incidence_num,2021-01-07,2021-01-10,3,4509.0,,,state,usa-facts
wv,confirmed_incidence_num,2021-01-07,2021-01-10,3,2801.0,,,state,usa-facts
wy,confirmed_incidence_num,2021-01-07,2021-01-10,3,278.0,,,state,usa-facts
ak,confirmed_incidence_num,2021-01-08,2021-02-11,34,394.0,,,state,usa-facts
al,confirmed_incidence_num,2021-01-08,2021-01-10,2,5057.0,,,state,usa-facts
ar,confirmed_incidence_num,2021-01-08,2021-01-10,2,2944.0,,,state,usa-facts
az,confirmed_incidence_num,2021-01-08,2021-01-10,2,11658.0,,,state,usa-facts
ca,confirmed_incidence_num,2021-01-08,2021-01-10,2,50030.0,,,state,usa-facts
co,confirmed_incidence_num,2021-01-08,2021-01-10,2,3188.0,,,state,usa-facts
ct,confirmed_incidence_num,2021-01-08,2021-01-10,2,3236.0,,,state,usa-facts
dc,confirmed_incidence_num,2021-01-08,2021-01-10,2,357.0,,,state,usa-facts
de,confirmed_incidence_num,2021-01-08,2021-01-10,2,554.0,,,state,usa-facts
fl,confirmed_incidence_num,2021-01-08,2021-01-10,2,19530.0,,,state,usa-facts
ga,confirmed_incidence_num,2021-01-08,2021-01-10,2,10382.0,,,state,usa-facts
hi,confirmed_incidence_num,2021-01-08,2021-01-10,2,235.0,,,state,usa-facts
ia,confirmed_incidence_num,2021-01-08,2021-01-10,2,2058.0,,,state,usa-facts
id,confirmed_incidence_num,2021-01-08,2021-01-10,2,1086.0,,,state,usa-facts
il,confirmed_incidence_num,2021-01-08,2021-01-10,2,9276.0,,,state,usa-facts
in,confirmed_incidence_num,2021-01-08,2021-01-10,2,6098.0,,,state,usa-facts
ks,confirmed_incidence_num,2021-01-08,2021-02-10,33,5308.0,,,state,usa-facts
ky,confirmed_incidence_num,2021-01-08,2021-02-11,34,4737.0,,,state,usa-facts
la,confirmed_incidence_num,2021-01-08,2021-02-11,34,3371.0,,,state,usa-facts
ma,confirmed_incidence_num,2021-01-08,2021-01-10,2,7635.0,,,state,usa-facts
md,confirmed_incidence_num,2021-01-08,2021-01-10,2,3732.0,,,state,usa-facts
me,confirmed_incidence_num,2021-01-08,2021-02-10,33,614.0,,,state,usa-facts
mi,confirmed_incidence_num,2021-01-08,2021-01-10,2,3969.0,,,state,usa-facts
mn,confirmed_incidence_num,2021-01-08,2021-01-10,2,2375.0,,,state,usa-facts
mo,confirmed_incidence_num,2021-01-08,2021-01-10,2,4332.0,,,state,usa-facts
ms,confirmed_incidence_num,2021-01-08,2021-01-10,2,5430.0,,,state,usa-facts
mt,confirmed_incidence_num,2021-01-08,2021-02-11,34,789.0,,,state,usa-facts
nc,confirmed_incidence_num,2021-01-08,2021-01-10,2,10028.0,,,state,usa-facts
nd,confirmed_incidence_num,2021-01-08,2021-02-10,33,282.0,,,state,usa-facts
ne,confirmed_incidence_num,2021-01-08,2021-01-10,2,1003.0,,,state,usa-facts
nh,confirmed_incidence_num,2021-01-08,2021-01-10,2,891.0,,,state,usa-facts
nj,confirmed_incidence_num,2021-01-08,2021-02-11,34,14369.0,,,state,usa-facts
nm,confirmed_incidence_num,2021-01-08,2021-01-10,2,1637.0,,,state,usa-facts
nv,confirmed_incidence_num,2021-01-08,2021-01-10,2,2829.0,,,state,usa-facts
ny,confirmed_incidence_num,2021-01-08,2021-01-10,2,18832.0,,,state,usa-facts
oh,confirmed_incidence_num,2021-01-08,2021-01-10,2,9535.0,,,state,usa-facts
ok,confirmed_incidence_num,2021-01-08,2021-01-10,2,5232.0,,,state,usa-facts
or,confirmed_incidence_num,2021-01-08,2021-01-10,2,1763.0,,,state,usa-facts
pa,confirmed_incidence_num,2021-01-08,2021-01-10,2,10178.0,,,state,usa-facts
ri,confirmed_incidence_num,2021-01-08,2021-01-10,2,0.0,,,state,usa-facts
sc,confirmed_incidence_num,2021-01-08,2021-01-10,2,6064.0,,,state,usa-facts
sd,confirmed_incidence_num,2021-01-08,2021-02-10,33,449.0,,,state,usa-facts
tn,confirmed_incidence_num,2021-01-08,2021-01-10,2,6369.0,,,state,usa-facts
tx,confirmed_incidence_num,2021-01-08,2021-01-10,2,1079.0,,,state,usa-facts
ut,confirmed_incidence_num,2021-01-08,2021-01-10,2,3659.0,,,state,usa-facts
va,confirmed_incidence_num,2021-01-08,2021-01-10,2,5239.0,,,state,usa-facts
vt,confirmed_incidence_num,2021-01-08,2021-01-10,2,216.0,,,state,usa-facts
wa,confirmed_incidence_num,2021-01-08,2021-01-10,2,0.0,,,state,usa-facts
wi,confirmed_incidence_num,2021-01-08,2021-01-10,2,4110.0,,,state,usa-facts
wv,confirmed_incidence_num,2021-01-08,2021-01-10,2,1885.0,,,state,usa-facts
wy,confirmed_incidence_num,2021-01-08,2021-01-10,2,479.0,,,state,usa-facts
ak,confirmed_incidence_num,2021-01-09,2021-02-11,33,303.0,,,state,usa-facts
al,confirmed_incidence_num,2021-01-09,2021-01-11,2,4863.0,,,state,usa-facts
ar,confirmed_incidence_num,2021-01-09,2021-01-18,9,2886.0,,,state,usa-facts
az,confirmed_incidence_num,2021-01-09,2021-01-11,2,11094.0,,,state,usa-facts
ca,confirmed_incidence_num,2021-01-09,2021-01-11,2,52636.0,,,state,usa-facts
co,confirmed_incidence_num,2021-01-09,2021-02-11,33,2837.0,,,state,usa-facts
ct,confirmed_incidence_num,2021-01-09,2021-01-11,2,0.0,,,state,usa-facts
dc,confirmed_incidence_num,2021-01-09,2021-01-11,2,350.0,,,state,usa-facts
de,confirmed_incidence_num,2021-01-09,2021-01-11,2,972.0,,,state,usa-facts
fl,confirmed_incidence_num,2021-01-09,2021-01-11,2,15445.0,,,state,usa-facts
ga,confirmed_incidence_num,2021-01-09,2021-01-18,9,8957.0,,,state,usa-facts
hi,confirmed_incidence_num,2021-01-09,2021-01-11,2,248.0,,,state,usa-facts
ia,confirmed_incidence_num,2021-01-09,2021-01-11,2,1659.0,,,state,usa-facts
id,confirmed_incidence_num,2021-01-09,2021-01-18,9,977.0,,,state,usa-facts
il,confirmed_incidence_num,2021-01-09,2021-01-18,9,6715.0,,,state,usa-facts
in,confirmed_incidence_num,2021-01-09,2021-01-11,2,5964.0,,,state,usa-facts
ks,confirmed_incidence_num,2021-01-09,2021-01-11,2,34.0,,,state,usa-facts
ky,confirmed_incidence_num,2021-01-09,2021-01-11,2,4230.0,,,state,usa-facts
la,confirmed_incidence_num,2021-01-09,2021-02-11,33,6.0,,,state,usa-facts
ma,confirmed_incidence_num,2021-01-09,2021-01-11,2,7110.0,,,state,usa-facts
md,confirmed_incidence_num,2021-01-09,2021-01-11,2,3758.0,,,state,usa-facts
me,confirmed_incidence_num,2021-01-09,2021-02-10,32,278.0,,,state,usa-facts
mi,confirmed_incidence_num,2021-01-09,2021-01-11,2,2898.0,,,state,usa-facts
mn,confirmed_incidence_num,2021-01-09,2021-01-11,2,2469.0,,,state,usa-facts
mo,confirmed_incidence_num,2021-01-09,2021-01-11,2,3825.0,,,state,usa-facts
ms,confirmed_incidence_num,2021-01-09,2021-02-11,33,3203.0,,,state,usa-facts
mt,confirmed_incidence_num,2021-01-09,2021-02-11,33,572.0,,,state,usa-facts
nc,confirmed_incidence_num,2021-01-09,2021-01-18,9,11581.0,,,state,usa-facts
nd,confirmed_incidence_num,2021-01-09,2021-02-10,32,113.0,,,state,usa-facts
ne,confirmed_incidence_num,2021-01-09,2021-01-18,9,999.0,,,state,usa-facts
nh,confirmed_incidence_num,2021-01-09,2021-01-11,2,0.0,,,state,usa-facts
nj,confirmed_incidence_num,2021-01-09,2021-02-11,33,0.0,,,state,usa-facts
nm,confirmed_incidence_num,2021-01-09,2021-01-11,2,1498.0,,,state,usa-facts
nv,confirmed_incidence_num,2021-01-09,2021-01-11,2,2601.0,,,state,usa-facts
ny,confirmed_incidence_num,2021-01-09,2021-01-11,2,16943.0,,,state,usa-facts
